id,id_product
287,195
224,75
237,122
248,39
262,260
271,286
242,97
266,126
198,150
83,242
228,220
94,20
265,253
27,234
88,157
72,108
3,23
192,108
135,36
82,96
16,40
229,79
282,44
103,23
189,69
146,188
224,138
197,77
68,80
121,216
180,13
250,252
187,103
49,30
227,91
108,226
34,296
272,64
279,24
148,227
188,16
275,84
251,260
165,24
144,294
275,139
13,137
124,229
224,225
227,4
168,139
95,160
60,16
262,223
272,128
169,173
169,182
22,296
275,80
280,86
293,47
221,74
73,53
296,40
21,7
169,100
264,146
157,205
187,275
28,76
160,62
79,86
88,271
42,209
284,290
230,232
3,242
288,250
140,116
204,116
78,199
263,218
96,175
290,284
212,265
242,53
9,185
167,129
173,13
263,282
136,20
147,291
6,50
25,233
123,263
156,126
266,44
78,102
107,191
80,185
127,185
272,2
142,268
263,83
31,128
68,109
215,241
256,205
256,100
195,47
67,23
72,192
93,30
4,231
171,97
110,42
26,173
74,209
62,227
150,198
106,276
193,235
281,232
91,127
67,51
12,64
233,278
286,244
22,116
239,107
91,154
21,20
224,121
141,42
299,298
254,152
193,280
49,238
160,153
213,268
81,148
183,130
27,247
225,70
44,114
137,105
52,42
216,108
150,111
281,50
73,253
243,274
148,298
193,251
247,53
119,128
259,238
166,199
241,64
6,156
187,168
75,137
285,99
83,137
152,122
219,35
82,233
136,133
97,94
32,122
32,101
223,247
20,37
45,117
64,176
278,189
2,55
143,143
213,231
231,60
38,79
171,90
201,286
51,42
248,117
95,94
27,204
202,94
99,119
184,276
165,240
131,98
89,42
183,268
144,61
277,212
246,151
225,132
109,198
204,280
188,248
248,91
60,154
216,114
290,179
111,162
221,70
179,38
13,111
239,73
3,300
64,15
77,262
202,89
12,32
198,177
300,265
289,78
220,75
154,64
91,238
213,153
228,204
40,178
194,35
32,16
97,259
293,216
75,164
3,152
20,149
213,145
235,197
116,300
166,5
119,255
291,196
233,3
13,115
125,16
31,169
300,30
99,289
67,141
22,141
50,57
61,55
143,189
15,189
258,298
164,189
14,132
62,225
43,295
52,147
210,231
179,237
126,125
98,14
196,213
81,147
103,265
6,291
217,82
4,94
228,104
82,99
13,230
45,249
169,40
141,201
46,118
261,260
17,116
45,159
241,243
36,265
153,240
154,52
49,92
218,211
287,124
77,174
136,2
277,55
262,284
292,273
264,70
175,265
217,138
163,179
259,297
294,220
276,265
55,69
161,125
67,250
113,165
239,300
183,87
300,10
69,90
4,241
127,267
246,151
30,65
85,23
210,134
84,86
86,242
277,278
232,211
50,193
248,212
40,216
55,221
124,90
91,99
109,93
285,145
246,51
104,176
255,125
111,220
30,3
107,42
2,207
108,183
36,49
168,193
89,274
144,85
124,268
194,214
228,2
119,204
254,46
215,79
219,150
285,168
254,115
90,42
198,73
10,34
299,242
175,142
285,83
121,18
26,281
160,13
211,263
14,61
269,264
87,154
95,183
123,4
228,213
161,158
73,106
108,207
28,153
211,196
19,282
37,80
228,187
147,91
31,68
204,170
161,245
256,106
150,180
68,272
41,207
187,72
216,51
103,196
142,297
272,51
258,154
95,68
258,110
25,49
67,233
181,4
27,178
117,72
153,39
27,282
168,167
61,11
287,165
55,122
68,288
134,214
123,9
283,133
254,167
206,281
218,22
188,72
294,157
277,103
221,297
171,260
90,204
163,267
44,290
20,192
284,79
145,58
109,204
101,148
290,45
115,226
299,176
208,68
25,135
243,74
214,128
278,46
210,189
71,204
297,245
7,48
162,137
218,33
251,228
121,67
38,213
62,271
175,261
15,181
187,189
189,141
222,71
83,247
152,51
257,259
25,219
170,117
292,132
292,257
268,167
86,53
180,91
202,235
252,279
87,264
235,207
283,81
197,284
12,220
221,203
60,195
163,290
106,252
102,11
33,275
43,257
98,101
189,247
237,166
3,259
32,71
28,40
262,67
111,136
200,57
297,300
279,57
249,133
223,89
184,61
195,134
257,219
20,279
183,137
236,212
176,25
126,35
267,252
9,35
206,126
248,5
116,203
146,240
176,37
264,202
201,258
265,116
79,276
37,160
289,103
92,173
155,114
225,218
274,297
240,180
277,247
135,202
195,82
258,202
7,159
126,7
191,26
128,282
238,59
67,293
263,156
152,226
148,206
212,131
295,145
250,178
124,265
202,174
139,287
251,189
135,1
107,146
77,224
13,179
236,259
116,237
21,280
204,27
135,115
250,263
109,175
241,162
64,92
163,140
127,141
259,18
202,59
8,119
291,63
122,267
82,112
203,84
94,76
2,57
37,8
9,58
30,97
63,22
144,69
155,86
296,233
2,207
115,238
187,106
278,283
178,215
63,115
251,296
77,167
137,160
254,192
